[2026-06-19 14:44:54] CVM v2 0->299 vm=experiments/vm_max_multires/checkpoint_299.pkl (online VM299=74.05)
load task config: configs/task/train_cvm_max_multires_v2.yaml
seed: 123
load data config: configs/data/train_cvm_max_multires_cloud.yaml
load transform config: configs/transform/cvm_multires.yaml
load model config: configs/model/cvm_max.yaml
use vm_ckpt: experiments/vm_max_multires/checkpoint_299.pkl
load system config: configs/system/cvm_max_multires_v2.yaml
[Epoch 0] train_patch_loss=1.293610 | val_patch_loss=1.212319 | val_CD=n/a | best_CD=n/a
[Epoch 1] train_patch_loss=1.269628 | val_patch_loss=1.264451 | val_CD=0.000157 | best_CD=0.000157
[Epoch 2] train_patch_loss=1.287216 | val_patch_loss=1.303990 | val_CD=n/a | best_CD=0.000157
[Epoch 3] train_patch_loss=1.280073 | val_patch_loss=1.274344 | val_CD=0.000157 | best_CD=0.000157
[Epoch 4] train_patch_loss=1.280155 | val_patch_loss=1.204453 | val_CD=n/a | best_CD=0.000157
[Epoch 5] train_patch_loss=1.279247 | val_patch_loss=1.296487 | val_CD=0.000154 | best_CD=0.000154
[Epoch 6] train_patch_loss=1.269372 | val_patch_loss=1.203252 | val_CD=n/a | best_CD=0.000154
[Epoch 7] train_patch_loss=1.267204 | val_patch_loss=1.338450 | val_CD=0.000161 | best_CD=0.000154
[Epoch 8] train_patch_loss=1.266622 | val_patch_loss=1.197242 | val_CD=n/a | best_CD=0.000154
[Epoch 9] train_patch_loss=1.279168 | val_patch_loss=1.163359 | val_CD=0.000158 | best_CD=0.000154
[Epoch 10] train_patch_loss=1.273743 | val_patch_loss=1.256424 | val_CD=n/a | best_CD=0.000154
[Epoch 11] train_patch_loss=1.261092 | val_patch_loss=1.241775 | val_CD=0.000160 | best_CD=0.000154
[Epoch 12] train_patch_loss=1.273745 | val_patch_loss=1.076694 | val_CD=n/a | best_CD=0.000154
[Epoch 13] train_patch_loss=1.268402 | val_patch_loss=1.227352 | val_CD=0.000156 | best_CD=0.000154
[Epoch 14] train_patch_loss=1.269192 | val_patch_loss=1.230756 | val_CD=n/a | best_CD=0.000154
[Epoch 15] train_patch_loss=1.270473 | val_patch_loss=1.178480 | val_CD=0.000157 | best_CD=0.000154
[Epoch 16] train_patch_loss=1.273872 | val_patch_loss=1.215188 | val_CD=n/a | best_CD=0.000154
[Epoch 17] train_patch_loss=1.268527 | val_patch_loss=1.225325 | val_CD=0.000158 | best_CD=0.000154
[Epoch 18] train_patch_loss=1.273926 | val_patch_loss=1.197608 | val_CD=n/a | best_CD=0.000154
